Source,RA_ICRS,DE_ICRS,pmRA,pmDE,Gmag,BPmRP,RUWE,epsi,sepsi,uvista_matchdistarcsec,uvista_Ymag,uvista_Jmag,uvista_Hmag,uvista_Ksmag,ukidss_matchdistarcsec,ukidss_Ymag,ukidss_Jmag,ukidss_Hmag,ukidss_Ksmag,FromPS1_Hmag,MUSEIOT_Jmag
3836231631640094208,149.92016443456,1.98611415372,-3.962,-6.864,18.4959,0.801704,0.982,0.0,0.0,0.14802120093566565,17.836,17.662,17.344,17.244,0.21939487602844268,17.551000595092773,17.773000717163086,17.211000442504883,17.18199920654297,17.267029,17.411383
3836231665999832448,149.93934244419,1.98627390471,-7.628,-4.692,19.1463,1.29786,0.989,0.0,0.0,0.17267644759003886,18.016,17.702,17.145,16.993,0.10627417690547986,17.996000289916992,17.792999267578125,17.003999710083008,16.858999252319336,17.058765,17.496044
3836231700359572096,149.95392811711,1.99058567269,-2.474,-3.96,19.0877,0.992697,0.996,0.0,0.0,0.10496489867977876,18.214,17.968,17.568,17.427,0.08044105758749372,18.195999145507812,18.020000457763672,17.499000549316406,17.395000457763672,17.481956,17.77911
3836231700359573120,149.94649102198,1.99463338534,-1.727,-4.97,16.1576,0.932091,1.081,0.141,1.3177572,0.11702617267513019,15.192,14.987,14.614,14.516,0.08978649809890658,15.25,14.994000434875488,14.58899974822998,14.494999885559082,14.59004,14.919262
3836231739014361728,149.9358681567,1.99514613815,-5.395,-1.514,20.1418,1.04158,0.948,0.0,0.0,0.11191661659017312,19.585,19.403,19.106,19.038,0.10271940607214197,19.452999114990234,,,,18.865005,18.777128
3836231734720930176,149.93886699787,1.99477127274,,,20.7888,1.87699,,2.643,0.90382683,0.18719752381467583,18.943,18.506,17.965,17.714,0.14730617368196286,18.920000076293945,18.440000534057617,17.923999786376953,17.597000122070312,17.783422,18.545446
3836231734719278976,149.93041960273,1.99888401395,4.478,-4.146,13.0079,0.843469,1.107,0.089,6.6093454,0.10492121947590045,12.363,12.559,11.996,11.929,0.1143022511067885,12.152999877929688,11.914999961853027,11.614999771118164,11.531999588012695,11.656587,11.873714
3836231803438784640,149.98304356216,1.98034553888,-9.228,-2.291,17.1213,1.05373,0.978,0.0,0.0,0.1947877855486187,16.065,15.82,15.381,15.264,0.11339459475746892,16.118000030517578,15.732000350952148,15.347999572753906,15.218000411987305,15.330949,15.742768
3836231837798527232,149.99593750777,1.99884924642,-1.324,-3.664,20.5912,1.10163,0.943,0.0,0.0,0.14070791679825728,19.716,19.435,18.989,18.852,0.09000210264534309,19.50200080871582,,18.702999114990234,,18.898424,19.158339
3836231910813021312,149.97715175402,2.00485719605,,,21.5208,1.34011,,44.146,34.36384,0.31740939254246087,15.193,14.807,14.2,13.812,0.15019388748970017,17.742000579833984,17.283000946044922,16.459999084472656,16.07900047302246,16.009062,19.824825
3836231940877743616,150.00561588955,2.00636642263,7.834,-13.832,17.4792,0.712444,1.015,0.0,0.0,0.13671637559219585,16.8,16.648,16.357,16.267,0.22974522784780477,16.76799964904785,16.795000076293945,16.285999298095703,16.22100067138672,16.292519,16.502108
3836231975237483520,150.02269927489,2.01245777321,0.769,-1.058,19.4713,2.42261,0.956,0.0,0.0,0.10762582806232587,17.374,16.952,16.344,16.083,0.1341600861573517,17.37700080871582,17.20199966430664,16.270000457763672,16.062999725341797,16.268995,16.735447
